album_id,pub_name,rank,is_ranked,score,artist,title,format,genres,label,date,website,producer
100005,aoty,40,TRUE,80,Amen Dunes,Freedom,LP,"Neo-Psychedelia, Singer-Songwriter",Sacred Bones,2018-03-30,amendunes.com,NA
119409,aoty,41,TRUE,82,boygenius,boygenius EP,EP,"Indie Folk, Singer-Songwriter, Indie Rock",Matador,2018-10-26,NA,NA
100536,aoty,42,TRUE,79,Hop Along,"Bark Your Head Off, Dog",LP,Indie Rock,Saddle Creek,2018-04-06,NA,NA
126677,aoty,42,TRUE,77,Vince Staples,FM!,LP,Hip Hop,Def Jam,2018-11-02,vincestaples.com,NA
113598,aoty,43,TRUE,80,Spiritualized,And Nothing Hurt,LP,Neo-Psychedelia,"Fat Possum, Bella Union",2018-09-07,NA,NA
120775,aoty,43,TRUE,80,Julia Holter,Aviary,LP,"Progressive Pop, Art Pop, Baroque Pop, Ambient Pop",Domino,2018-10-26,juliashammasholter.com,NA
119341,aoty,44,TRUE,86,Daughters,You Won't Get What You Want,LP,"Noise Rock, Industrial Rock",Ipecac,2018-10-26,NA,NA
111073,aoty,44,TRUE,85,Skee Mask,Compro,LP,"Ambient Techno, Electronic",Ilian Tape,2018-05-15,NA,NA
110477,aoty,45,TRUE,81,The Beths,Future Me Hates Me,LP,Indie Rock,Carpark,2018-08-10,NA,NA
99139,aoty,46,TRUE,77,Various Artists,Black Panther: The Album,Soundtrack,"Hip Hop, R&B","Top Dawg, Aftermath, Interscope",2018-02-09,NA,NA
108270,aoty,47,TRUE,83,Deafheaven,Ordinary Corrupt Human Love,LP,Blackgaze,Anti-,2018-07-13,deafheaven.com,NA
124823,aoty,48,TRUE,79,Mariah Carey,Caution,LP,R&B,Epic,2018-11-16,NA,NA
113954,aoty,48,TRUE,76,The Carters,Everything Is Love,LP,"R&B, Pop Rap","Roc Nation, Parkwood",2018-06-16,NA,NA
119172,aoty,49,TRUE,74,Kurt Vile,Bottle It In,LP,"Folk Rock, Singer-Songwriter",Matador,2018-10-12,kurtvile.com,NA
94578,aoty,50,TRUE,80,Nils Frahm,All Melody,LP,"Ambient, Modern Classical",Erased Tapes,2018-01-26,nilsfrahm.com,NA
100548,aoty,51,TRUE,82,JPEGMAFIA,Veteran,LP,"Experimental Hip Hop, Glitch Hop",Deathbomb Arc,2018-01-19,NA,NA
103893,aoty,51,TRUE,81,Iceage,Beyondless,LP,Post-Punk,Matador,2018-05-04,NA,NA
126723,aoty,52,TRUE,82,Pistol Annies,Interstate Gospel,LP,Country,Sony,2018-11-02,www.pistolannies.com,NA
104255,aoty,52,TRUE,82,Neko Case,Hell-On,LP,"Singer-Songwriter, Alt-Country",Anti-,2018-06-01,www.nekocase.com,NA
110633,aoty,52,TRUE,71,Playboi Carti,Die Lit,LP,Trap Rap,"NA",2018-05-11,NA,NA
96187,aoty,53,TRUE,70,Camila Cabello,Camila,LP,"R&B, Pop",Epic,2018-01-12,NA,NA
111385,aoty,53,TRUE,82,Troye Sivan,Bloom,LP,"Electropop, Pop","Capitol, EMI Australia",2018-08-31,NA,NA
119852,aoty,53,TRUE,82,Brockhampton,iridescence,LP,Experimental Hip Hop,RCA,2018-09-21,NA,NA
107873,aoty,54,TRUE,78,Ghost,Prequelle,LP,"Hard Rock, Heavy Metal",Loma Vista,2018-06-01,NA,NA
121736,aoty,54,TRUE,85,Gazelle Twin,Pastoral,LP,Post-Industrial,Anti-Ghost Moon Ray,2018-09-21,gazelletwin.com,NA
120532,aoty,54,TRUE,82,Marie Davidson,Working Class Woman,LP,Tech House,Ninja Tune,2018-10-05,NA,NA
99256,aoty,54,TRUE,82,Car Seat Headrest,Twin Fantasy,LP,Indie Rock,Matador,2018-02-16,NA,NA
114497,aoty,55,TRUE,73,Teyana Taylor,K.T.S.E.,LP,"R&B, Neo-Soul","G.O.O.D., Def Jam",2018-06-23,NA,NA
122090,aoty,55,TRUE,80,Nao,Saturn,LP,Alternative R&B,"Little Tokyo, Sony UK",2018-10-26,NA,NA
113158,aoty,55,TRUE,81,Anna Calvi,Hunter,LP,"Art Rock, Art Pop",Domino,2018-08-31,annacalvi.com,NA
109820,aoty,55,TRUE,75,Florence + The Machine,High as Hope,LP,Art Pop,Virgin EMI,2018-06-29,florenceandthemachine.net,NA
104473,aoty,56,TRUE,83,YOB,Our Raw Heart,LP,Doom Metal,Relapse,2018-06-08,NA,NA
108155,aoty,56,TRUE,65,Drake,Scorpion,LP,"Pop Rap, R&B","Young Money, Cash Money",2018-06-29,www.drakeofficial.com,NA
109519,aoty,56,TRUE,78,Suede,The Blue Hour,LP,Alternative Rock,Warner UK,2018-09-21,www.suede.co.uk,NA
101720,aoty,57,TRUE,64,A Perfect Circle,Eat the Elephant,LP,Alternative Rock,BMG,2018-04-20,NA,NA
99160,aoty,57,TRUE,79,Camp Cope,How to Socialise & Make Friends,LP,Indie Rock,Run For Cover,2018-03-02,NA,NA
102788,aoty,57,TRUE,78,A.A.L. (Against All Logic),2012 - 2017,LP,"Deep House, Microhouse",Other People,2018-02-17,NA,NA
115916,aoty,57,TRUE,78,Beak>,>>>,LP,"Neo-Psychedelia, Krautrock",Temporary Residence Ltd.,2018-09-21,NA,NA
79228,aoty,58,TRUE,75,MGMT,Little Dark Age,LP,"Synthpop, Neo-Psychedelia, Psychedelic Pop",Columbia,2018-02-09,NA,NA
